Designator,Mid X,Mid Y,Layer,Rotation
BRD1,158.750001mm,116.425mm,Top,180.0
C1,44.702mm,23.514001mm,Top,270.0
C2,48.302mm,26.714001mm,Top,90.0
C3,74.1mm,25.8mm,Top,270.0
C4,76.6mm,31.4mm,Top,90.0
D1,113.0mm,128.5mm,Top,90.0
D2,109.0mm,128.5mm,Top,90.0
D3,99.0mm,128.5mm,Top,90.0
D4,89.5mm,128.5mm,Top,90.0
D5,79.8mm,128.5mm,Top,90.0
F1,140.5mm,128.5mm,Top,270.0
F2,64.0mm,129.0mm,Top,270.0
F3,31.0mm,121.5mm,Top,270.0
F4,26.0mm,121.5mm,Top,270.0
F5,51.0mm,121.5mm,Top,270.0
F6,41.0mm,121.5mm,Top,270.0
F7,46.0mm,121.5mm,Top,270.0
F8,36.0mm,121.5mm,Top,270.0
G1,174.02mm,15.24mm,Top,90.0
G2,175.29mm,100.33mm,Top,90.0
G3,167.67mm,100.33mm,Top,90.0
G4,160.05mm,100.33mm,Top,90.0
G5,167.67mm,113.03mm,Top,90.0
G6,175.29mm,92.71mm,Top,180.0
G7,160.05mm,113.03mm,Top,90.0
G8,175.29mm,113.03mm,Top,90.0
J3,132.95mm,31.75mm,Top,90.0
J9,91.35mm,151.681mm,Top,0.0
J10,80.15mm,18.35mm,Top,0.0
P1,144.0mm,130.0mm,Top,0.0
P2,136.5mm,125.5mm,Top,0.0
P3,147.0mm,130.0mm,Top,0.0
P4,136.5mm,130.0mm,Top,0.0
P5,131.5mm,118.0mm,Top,180.0
P6,128.5mm,121.0mm,Top,0.0
P7,119.5mm,121.0mm,Top,0.0
P8,116.5mm,121.0mm,Top,0.0
P9,131.5mm,121.0mm,Top,0.0
P10,128.5mm,125.5mm,Top,0.0
P11,125.5mm,125.5mm,Top,0.0
P12,122.5mm,125.5mm,Top,0.0
P13,119.5mm,125.5mm,Top,0.0
P14,116.5mm,125.5mm,Top,0.0
P15,131.5mm,125.5mm,Top,0.0
P16,128.5mm,130.0mm,Top,0.0
P17,125.5mm,130.0mm,Top,0.0
P18,122.5mm,130.0mm,Top,0.0
P19,119.5mm,130.0mm,Top,0.0
P20,116.5mm,130.0mm,Top,0.0
P21,131.5mm,130.0mm,Top,0.0
P22,105.5mm,121.0mm,Top,0.0
P23,105.5mm,118.0mm,Top,180.0
P24,99.0mm,122.0mm,Top,0.0
P25,93.0mm,130.0mm,Top,0.0
P26,86.0mm,125.5mm,Top,0.0
P27,83.0mm,125.5mm,Top,0.0
P28,79.5mm,112.0mm,Top,0.0
P29,113.0mm,122.0mm,Top,0.0
P30,105.5mm,125.5mm,Top,0.0
P31,79.5mm,118.0mm,Top,180.0
P32,79.5mm,121.0mm,Top,0.0
P33,105.5mm,130.0mm,Top,0.0
P34,86.0mm,130.0mm,Top,0.0
P35,83.0mm,130.0mm,Top,0.0
P36,76.0mm,118.0mm,Top,180.0
P37,73.0mm,121.0mm,Top,0.0
P38,70.0mm,125.5mm,Top,0.0
P39,67.0mm,118.0mm,Top,180.0
P40,64.0mm,118.0mm,Top,0.0
P41,76.0mm,121.0mm,Top,0.0
P42,67.0mm,121.0mm,Top,0.0
P43,64.0mm,122.5mm,Top,0.0
P44,64.0mm,113.5mm,Top,0.0
P45,61.0mm,122.5mm,Top,0.0
P46,58.0mm,121.0mm,Top,0.0
P47,55.0mm,121.0mm,Top,0.0
P48,76.0mm,125.5mm,Top,0.0
P49,73.0mm,125.5mm,Top,0.0
P50,67.0mm,125.5mm,Top,0.0
P51,61.0mm,118.0mm,Top,0.0
P52,58.0mm,125.5mm,Top,0.0
P53,55.0mm,125.5mm,Top,0.0
P54,76.0mm,130.0mm,Top,0.0
P55,73.0mm,130.0mm,Top,0.0
P56,70.0mm,121.0mm,Top,0.0
P57,70.0mm,130.0mm,Top,0.0
P58,67.0mm,130.0mm,Top,0.0
P59,58.0mm,130.0mm,Top,0.0
P60,55.0mm,130.0mm,Top,0.0
P61,41.0mm,130.0mm,Top,0.0
P62,47.9mm,130.0mm,Top,0.0
P63,123.2mm,71.2mm,Top,90.0
P64,123.5mm,57.8mm,Top,0.0
P65,123.5mm,48.9mm,Top,0.0
P66,123.5mm,53.3mm,Top,0.0
P67,123.5mm,62.3mm,Top,0.0
P68,123.22mm,80.424mm,Top,90.0
P69,123.22mm,77.376mm,Top,90.0
P70,123.2mm,74.5mm,Top,90.0
P71,123.5mm,66.7mm,Top,0.0
P72,95.28mm,32.512mm,Top,180.0
P73,98.2mm,32.5mm,Top,180.0
P74,89.184mm,32.512mm,Top,180.0
P75,92.232mm,32.512mm,Top,180.0
P76,102.392mm,32.512mm,Top,180.0
P77,105.44mm,32.512mm,Top,180.0
P78,59.212mm,86.36mm,Top,270.0
P79,59.212mm,80.264mm,Top,270.0
P80,59.212mm,83.312mm,Top,270.0
P81,59.2mm,77.2mm,Top,270.0
P82,59.212mm,70.612mm,Top,270.0
P83,59.1mm,62.5mm,Top,0.0
Q1,11.2mm,91.225mm,Top,0.0
Q2,11.2mm,107.225mm,Top,0.0
Q3,11.2mm,27.225mm,Top,0.0
Q4,11.2mm,59.225mm,Top,0.0
Q5,11.2mm,43.225mm,Top,0.0
Q6,11.2mm,75.225mm,Top,0.0
Q7,92.5mm,121.0mm,Top,180.0
R1,61.0mm,128.5mm,Top,270.0
R2,2.2mm,98.225mm,Top,90.0
R3,2.2mm,114.225mm,Top,90.0
R4,2.2mm,34.225mm,Top,90.0
R5,44.702mm,26.614001mm,Top,270.0
R6,74.3mm,31.4mm,Top,270.0
R7,2.2mm,66.225mm,Top,90.0
R8,2.2mm,50.225mm,Top,90.0
R9,2.2mm,82.225mm,Top,90.0
R10,7.2mm,99.225mm,Top,0.0
R11,7.2mm,115.225mm,Top,0.0
R12,7.2mm,35.225mm,Top,0.0
R13,7.2mm,67.225mm,Top,0.0
R14,7.2mm,51.225mm,Top,0.0
R15,7.2mm,83.225mm,Top,0.0
R16,87.0mm,122.5mm,Top,90.0
U1,33.0mm,24.0mm,Top,180.0
U2,60.9mm,15.6mm,Top,180.0
R430,153.638337mm,16.187502mm,Top,270.0
C431,157.088337mm,23.837502mm,Top,90.0
C430,157.088337mm,20.137502mm,Top,270.0
U430,153.838337mm,21.457502mm,Top,180.0
D430,156.058337mm,16.187502mm,Top,180.0
C600,119.402mm,20.897mm,Top,270.0
C601,119.275mm,22.802mm,Top,90.0
C602,128.52mm,17.375mm,Top,0.0
C603,128.927mm,18.357mm,Top,0.0
C604,128.52mm,16.375mm,Top,0.0
C605,122.1325mm,26.0405mm,Top,0.0
C606,129.92mm,22.775mm,Top,0.0
C607,119.91mm,19.373mm,Top,180.0
C608,130.42mm,15.725mm,Top,180.0
C609,140.02mm,25.46mm,Top,90.0
C610,145.443mm,18.835mm,Top,180.0
C611,130.37mm,20.725mm,Top,90.0
C612,130.37mm,18.825mm,Top,270.0
C613,145.316mm,23.534mm,Top,180.0
C614,131.57mm,24.825mm,Top,90.0
C615,140.67mm,15.875mm,Top,270.0
C616,142.395mm,21.375mm,Top,90.0
D600,120.164mm,17.341mm,Top,270.0
D601,134.642mm,26.485mm,Top,0.0
D602,137.69mm,26.485mm,Top,180.0
D603,142.30245mm,16.25505mm,Top,90.0
Q600,114.92mm,22.625mm,Top,90.0
Q601,114.42mm,15.725mm,Top,0.0
R600,120.291mm,22.802mm,Top,270.0
R601,120.418mm,20.897mm,Top,270.0
R602,130.42mm,16.675mm,Top,180.0
R603,125.498mm,18.865mm,Top,90.0
R604,128.927mm,19.373mm,Top,0.0
R605,126.514mm,18.865mm,Top,90.0
R606,121.434mm,18.865mm,Top,270.0
R607,124.101mm,26.0405mm,Top,0.0
R608,127.47mm,18.865mm,Top,90.0
R609,123.466mm,19.119mm,Top,180.0
R610,119.785mm,24.775mm,Top,180.0
R611,119.785mm,25.825mm,Top,0.0
R612,119.785mm,26.875mm,Top,180.0
R613,122.67mm,17.075mm,Top,90.0
R614,121.67mm,16.875mm,Top,90.0
R615,122.22mm,15.075mm,Top,180.0
R616,120.235mm,15.125mm,Top,180.0
R617,136.905mm,14.775mm,Top,180.0
R618,130.42mm,24.825mm,Top,270.0
R619,126.0695mm,26.0405mm,Top,0.0
R620,128.038mm,26.0405mm,Top,0.0
R621,128.52mm,14.775mm,Top,180.0
R622,118.92mm,16.575mm,Top,270.0
R623,129.435mm,24.58mm,Top,90.0
R624,130.42mm,14.775mm,Top,0.0
R625,142.57mm,23.525mm,Top,180.0
R626,132.102mm,26.485mm,Top,0.0
R627,138.955mm,27.725mm,Top,180.0
R628,142.37745mm,18.76505mm,Top,90.0
U600,124.99mm,22.675mm,Top,90.0
U601,125.37mm,16.075mm,Top,180.0
U602,136.07mm,20.525mm,Top,270.0
U603,144.935mm,16.549mm,Top,90.0
U604,145.062mm,21.2226mm,Top,180.0
